CHASSIS_NUMBER,MODEL,YEAR,ENGINE_TYPE,MSRP,RELIABILITY_RATING
VIN01321,T2000,2020,Diesel Turbo,85000,4
VIN01322,T2000,2020,Diesel Turbo,85000,4
VIN01323,T6000,2021,Diesel 6-Cylinder,135000,3
VIN01324,T8000,2020,Diesel Turbo,160000,3
VIN01325,T6000,2022,Diesel Turbo,135000,3
VIN01326,T2000,2022,Diesel 8-Cylinder,85000,4
VIN01327,T4000,2020,Diesel 6-Cylinder,110000,4
VIN01328,T8000,2022,Diesel 8-Cylinder,160000,3
VIN01329,T8000,2022,Diesel 8-Cylinder,160000,3
VIN01330,T6000,2020,Diesel 6-Cylinder,135000,3
VIN01331,T2000,2021,Diesel Turbo,85000,4
VIN01332,T6000,2022,Diesel 8-Cylinder,135000,3
VIN01333,T8000,2024,Diesel 8-Cylinder,160000,3
VIN01334,T8000,2020,Diesel 8-Cylinder,160000,3
VIN01335,T8000,2021,Diesel 6-Cylinder,160000,3
VIN01336,T4000,2023,Diesel 8-Cylinder,110000,4
VIN01337,T8000,2023,Diesel 8-Cylinder,160000,3
VIN01338,T6000,2021,Diesel 6-Cylinder,135000,3
VIN01339,T2000,2020,Diesel 6-Cylinder,85000,4
VIN01340,T2000,2024,Diesel 8-Cylinder,85000,4
VIN01341,T8000,2023,Diesel 6-Cylinder,160000,3
VIN01342,T6000,2022,Diesel Turbo,135000,3
VIN01343,T2000,2021,Diesel 8-Cylinder,85000,4
VIN01344,T9000,2020,Diesel 8-Cylinder,195000,2
VIN01345,T4000,2020,Diesel 8-Cylinder,110000,4
VIN01346,T6000,2020,Diesel Turbo,135000,3
VIN01347,T8000,2024,Diesel Turbo,160000,3
VIN01348,T4000,2024,Diesel 6-Cylinder,110000,4
VIN01349,T9000,2022,Diesel Turbo,195000,2
VIN01350,T4000,2024,Diesel 6-Cylinder,110000,4
VIN01351,T4000,2021,Diesel 8-Cylinder,110000,4
VIN01352,T2000,2023,Diesel 6-Cylinder,85000,4
VIN01353,T8000,2024,Diesel Turbo,160000,3
VIN01354,T2000,2021,Diesel Turbo,85000,4
VIN01355,T8000,2023,Diesel 6-Cylinder,160000,3
VIN01356,T2000,2023,Diesel 8-Cylinder,85000,4
VIN01357,T2000,2022,Diesel 6-Cylinder,85000,4
VIN01358,T4000,2024,Diesel Turbo,110000,4
VIN01359,T4000,2021,Diesel 6-Cylinder,110000,4
VIN01360,T4000,2024,Diesel 8-Cylinder,110000,4
VIN01361,T2000,2023,Diesel 8-Cylinder,85000,4
VIN01362,T2000,2023,Diesel Turbo,85000,4
VIN01363,T6000,2020,Diesel 8-Cylinder,135000,3
VIN01364,T4000,2024,Diesel Turbo,110000,4
VIN01365,T2000,2020,Diesel Turbo,85000,4
VIN01366,T9000,2022,Diesel Turbo,195000,2
VIN01367,T4000,2023,Diesel 8-Cylinder,110000,4
VIN01368,T4000,2020,Diesel 6-Cylinder,110000,4
VIN01369,T8000,2022,Diesel Turbo,160000,3
VIN01370,T8000,2024,Diesel 8-Cylinder,160000,3
VIN01371,T6000,2022,Diesel Turbo,135000,3
VIN01372,T4000,2020,Diesel Turbo,110000,4
VIN01373,T2000,2022,Diesel 8-Cylinder,85000,4
VIN01374,T8000,2022,Diesel Turbo,160000,3
VIN01375,T4000,2020,Diesel 6-Cylinder,110000,4
VIN01376,T8000,2023,Diesel 6-Cylinder,160000,3
VIN01377,T8000,2023,Diesel 6-Cylinder,160000,3
VIN01378,T2000,2021,Diesel 6-Cylinder,85000,4
VIN01379,T2000,2023,Diesel 6-Cylinder,85000,4
VIN01380,T4000,2021,Diesel Turbo,110000,4
VIN01381,T2000,2023,Diesel 6-Cylinder,85000,4
VIN01382,T9000,2024,Diesel 6-Cylinder,195000,2
VIN01383,T8000,2023,Diesel 8-Cylinder,160000,3
VIN01384,T6000,2024,Diesel 6-Cylinder,135000,3
VIN01385,T9000,2020,Diesel Turbo,195000,2
VIN01386,T6000,2024,Diesel 8-Cylinder,135000,3
VIN01387,T8000,2023,Diesel Turbo,160000,3
VIN01388,T8000,2021,Diesel Turbo,160000,3
VIN01389,T4000,2021,Diesel 6-Cylinder,110000,4
VIN01390,T4000,2024,Diesel Turbo,110000,4
VIN01391,T8000,2024,Diesel 8-Cylinder,160000,3
VIN01392,T4000,2024,Diesel Turbo,110000,4
VIN01393,T8000,2022,Diesel 8-Cylinder,160000,3
VIN01394,T9000,2022,Diesel 8-Cylinder,195000,2
VIN01395,T8000,2021,Diesel 8-Cylinder,160000,3
VIN01396,T6000,2024,Diesel 8-Cylinder,135000,3
VIN01397,T8000,2024,Diesel 8-Cylinder,160000,3
VIN01398,T6000,2024,Diesel Turbo,135000,3
VIN01399,T2000,2021,Diesel Turbo,85000,4
VIN01400,T6000,2022,Diesel Turbo,135000,3
VIN01401,T2000,2021,Diesel Turbo,85000,4
VIN01402,T4000,2022,Diesel Turbo,110000,4
VIN01403,T2000,2022,Diesel Turbo,85000,4
VIN01404,T4000,2024,Diesel Turbo,110000,4
VIN01405,T6000,2024,Diesel 8-Cylinder,135000,3
VIN01406,T8000,2023,Diesel 6-Cylinder,160000,3
VIN01407,T4000,2020,Diesel 8-Cylinder,110000,4
VIN01408,T2000,2020,Diesel 6-Cylinder,85000,4
VIN01409,T2000,2021,Diesel 8-Cylinder,85000,4
VIN01410,T6000,2021,Diesel 6-Cylinder,135000,3
VIN01411,T6000,2022,Diesel 6-Cylinder,135000,3
VIN01412,T8000,2020,Diesel 8-Cylinder,160000,3
VIN01413,T8000,2020,Diesel Turbo,160000,3
VIN01414,T8000,2024,Diesel 6-Cylinder,160000,3
VIN01415,T6000,2024,Diesel 8-Cylinder,135000,3
VIN01416,T2000,2022,Diesel Turbo,85000,4
VIN01417,T6000,2023,Diesel 8-Cylinder,135000,3
VIN01418,T4000,2022,Diesel Turbo,110000,4
VIN01419,T2000,2022,Diesel 6-Cylinder,85000,4
VIN01420,T6000,2023,Diesel 6-Cylinder,135000,3
VIN01421,T9000,2022,Diesel Turbo,195000,2
VIN01422,T4000,2024,Diesel 6-Cylinder,110000,4
VIN01423,T8000,2021,Diesel 8-Cylinder,160000,3
VIN01424,T4000,2020,Diesel 6-Cylinder,110000,4
VIN01425,T9000,2024,Diesel 6-Cylinder,195000,2
VIN01426,T4000,2023,Diesel 8-Cylinder,110000,4
VIN01427,T4000,2021,Diesel 6-Cylinder,110000,4
VIN01428,T4000,2022,Diesel 6-Cylinder,110000,4
VIN01429,T2000,2021,Diesel 6-Cylinder,85000,4
VIN01430,T2000,2022,Diesel Turbo,85000,4
VIN01431,T2000,2024,Diesel Turbo,85000,4
VIN01432,T2000,2024,Diesel Turbo,85000,4
VIN01433,T4000,2022,Diesel Turbo,110000,4
VIN01434,T2000,2021,Diesel Turbo,85000,4
VIN01435,T2000,2024,Diesel 6-Cylinder,85000,4
VIN01436,T4000,2024,Diesel 8-Cylinder,110000,4
VIN01437,T2000,2021,Diesel 6-Cylinder,85000,4
VIN01438,T6000,2022,Diesel 8-Cylinder,135000,3
VIN01439,T2000,2024,Diesel Turbo,85000,4
VIN01440,T4000,2024,Diesel Turbo,110000,4
VIN01441,T2000,2022,Diesel 8-Cylinder,85000,4
VIN01442,T2000,2024,Diesel Turbo,85000,4
VIN01443,T2000,2020,Diesel Turbo,85000,4
VIN01444,T8000,2023,Diesel 6-Cylinder,160000,3
VIN01445,T4000,2024,Diesel Turbo,110000,4
VIN01446,T2000,2024,Diesel 8-Cylinder,85000,4
VIN01447,T4000,2024,Diesel 8-Cylinder,110000,4
VIN01448,T4000,2022,Diesel Turbo,110000,4
VIN01449,T2000,2024,Diesel 6-Cylinder,85000,4
VIN01450,T9000,2021,Diesel Turbo,195000,2
VIN01451,T4000,2020,Diesel 6-Cylinder,110000,4
VIN01452,T6000,2021,Diesel Turbo,135000,3
VIN01453,T4000,2020,Diesel 6-Cylinder,110000,4
VIN01454,T4000,2023,Diesel Turbo,110000,4
VIN01455,T8000,2020,Diesel Turbo,160000,3
VIN01456,T6000,2020,Diesel 8-Cylinder,135000,3
VIN01457,T6000,2020,Diesel 6-Cylinder,135000,3
VIN01458,T2000,2021,Diesel 8-Cylinder,85000,4
VIN01459,T4000,2024,Diesel 6-Cylinder,110000,4
VIN01460,T9000,2023,Diesel 8-Cylinder,195000,2
VIN01461,T4000,2023,Diesel 8-Cylinder,110000,4
VIN01462,T2000,2023,Diesel Turbo,85000,4
VIN01463,T2000,2020,Diesel Turbo,85000,4
VIN01464,T6000,2020,Diesel Turbo,135000,3
VIN01465,T4000,2020,Diesel 8-Cylinder,110000,4
VIN01466,T9000,2020,Diesel 8-Cylinder,195000,2
VIN01467,T8000,2022,Diesel Turbo,160000,3
VIN01468,T2000,2023,Diesel 8-Cylinder,85000,4
VIN01469,T4000,2020,Diesel 8-Cylinder,110000,4
VIN01470,T2000,2021,Diesel 6-Cylinder,85000,4
VIN01471,T6000,2024,Diesel 8-Cylinder,135000,3
VIN01472,T9000,2021,Diesel 8-Cylinder,195000,2
VIN01473,T6000,2022,Diesel 6-Cylinder,135000,3
VIN01474,T4000,2024,Diesel 6-Cylinder,110000,4
VIN01475,T2000,2020,Diesel Turbo,85000,4
VIN01476,T4000,2024,Diesel Turbo,110000,4
VIN01477,T9000,2022,Diesel 6-Cylinder,195000,2
VIN01478,T6000,2022,Diesel 6-Cylinder,135000,3
VIN01479,T4000,2024,Diesel 6-Cylinder,110000,4
VIN01480,T2000,2021,Diesel Turbo,85000,4
VIN01481,T8000,2021,Diesel 6-Cylinder,160000,3
VIN01482,T2000,2024,Diesel 6-Cylinder,85000,4
VIN01483,T8000,2024,Diesel 8-Cylinder,160000,3
VIN01484,T6000,2020,Diesel 8-Cylinder,135000,3
VIN01485,T6000,2022,Diesel 6-Cylinder,135000,3
VIN01486,T2000,2024,Diesel 8-Cylinder,85000,4
VIN01487,T9000,2022,Diesel 6-Cylinder,195000,2
VIN01488,T6000,2021,Diesel 6-Cylinder,135000,3
VIN01489,T2000,2020,Diesel 6-Cylinder,85000,4
VIN01490,T2000,2023,Diesel 8-Cylinder,85000,4
VIN01491,T6000,2022,Diesel Turbo,135000,3
VIN01492,T4000,2024,Diesel Turbo,110000,4
VIN01493,T4000,2022,Diesel 8-Cylinder,110000,4
VIN01494,T2000,2022,Diesel 6-Cylinder,85000,4
VIN01495,T8000,2023,Diesel 8-Cylinder,160000,3
VIN01496,T8000,2021,Diesel Turbo,160000,3
VIN01497,T6000,2023,Diesel 8-Cylinder,135000,3
VIN01498,T4000,2022,Diesel 8-Cylinder,110000,4
VIN01499,T4000,2021,Diesel Turbo,110000,4
VIN01500,T6000,2022,Diesel 6-Cylinder,135000,3
VIN01501,T8000,2021,Diesel 8-Cylinder,160000,3
VIN01502,T6000,2020,Diesel Turbo,135000,3
VIN01503,T2000,2020,Diesel Turbo,85000,4
VIN01504,T6000,2024,Diesel Turbo,135000,3
VIN01505,T4000,2024,Diesel 6-Cylinder,110000,4
VIN01506,T9000,2024,Diesel 8-Cylinder,195000,2
VIN01507,T4000,2024,Diesel 8-Cylinder,110000,4
VIN01508,T6000,2021,Diesel 8-Cylinder,135000,3
VIN01509,T4000,2024,Diesel Turbo,110000,4
VIN01510,T8000,2021,Diesel 8-Cylinder,160000,3
VIN01511,T4000,2020,Diesel 8-Cylinder,110000,4
VIN01512,T4000,2020,Diesel Turbo,110000,4
VIN01513,T2000,2024,Diesel Turbo,85000,4
VIN01514,T2000,2024,Diesel 6-Cylinder,85000,4
VIN01515,T4000,2021,Diesel Turbo,110000,4
VIN01516,T9000,2021,Diesel Turbo,195000,2
VIN01517,T6000,2022,Diesel 6-Cylinder,135000,3
VIN01518,T2000,2023,Diesel 6-Cylinder,85000,4
VIN01519,T2000,2022,Diesel 6-Cylinder,85000,4
VIN01520,T2000,2021,Diesel Turbo,85000,4
VIN01521,T9000,2022,Diesel 8-Cylinder,195000,2
VIN01522,T4000,2023,Diesel 6-Cylinder,110000,4
VIN01523,T2000,2022,Diesel 6-Cylinder,85000,4
VIN01524,T6000,2024,Diesel Turbo,135000,3
VIN01525,T8000,2022,Diesel Turbo,160000,3
VIN01526,T4000,2021,Diesel 8-Cylinder,110000,4
VIN01527,T6000,2022,Diesel Turbo,135000,3
VIN01528,T6000,2020,Diesel Turbo,135000,3
VIN01529,T2000,2021,Diesel Turbo,85000,4
VIN01530,T4000,2022,Diesel 8-Cylinder,110000,4
VIN01531,T8000,2024,Diesel 6-Cylinder,160000,3
VIN01532,T4000,2021,Diesel 8-Cylinder,110000,4
VIN01533,T2000,2020,Diesel Turbo,85000,4
VIN01534,T6000,2021,Diesel 6-Cylinder,135000,3
VIN01535,T2000,2022,Diesel Turbo,85000,4
VIN01536,T6000,2020,Diesel Turbo,135000,3
VIN01537,T2000,2022,Diesel Turbo,85000,4
VIN01538,T2000,2023,Diesel 8-Cylinder,85000,4
VIN01539,T2000,2021,Diesel Turbo,85000,4
VIN01540,T8000,2020,Diesel 6-Cylinder,160000,3
VIN01541,T2000,2024,Diesel Turbo,85000,4
VIN01542,T2000,2024,Diesel 6-Cylinder,85000,4
VIN01543,T8000,2021,Diesel 6-Cylinder,160000,3
VIN01544,T2000,2021,Diesel Turbo,85000,4
VIN01545,T9000,2024,Diesel Turbo,195000,2
VIN01546,T6000,2022,Diesel 6-Cylinder,135000,3
VIN01547,T2000,2024,Diesel 8-Cylinder,85000,4
VIN01548,T8000,2021,Diesel 6-Cylinder,160000,3
VIN01549,T8000,2024,Diesel 6-Cylinder,160000,3
VIN01550,T8000,2021,Diesel Turbo,160000,3
VIN01551,T6000,2022,Diesel 6-Cylinder,135000,3
VIN01552,T6000,2022,Diesel 8-Cylinder,135000,3
VIN01553,T4000,2020,Diesel 6-Cylinder,110000,4
VIN01554,T4000,2021,Diesel 6-Cylinder,110000,4
VIN01555,T2000,2024,Diesel Turbo,85000,4
VIN01556,T6000,2021,Diesel Turbo,135000,3
VIN01557,T2000,2023,Diesel Turbo,85000,4
VIN01558,T4000,2024,Diesel Turbo,110000,4
VIN01559,T8000,2020,Diesel 8-Cylinder,160000,3
VIN01560,T6000,2024,Diesel Turbo,135000,3
VIN01561,T8000,2023,Diesel Turbo,160000,3
VIN01562,T4000,2020,Diesel Turbo,110000,4
VIN01563,T4000,2021,Diesel 8-Cylinder,110000,4
VIN01564,T8000,2023,Diesel 8-Cylinder,160000,3
VIN01565,T4000,2024,Diesel 6-Cylinder,110000,4
VIN01566,T4000,2022,Diesel 8-Cylinder,110000,4
VIN01567,T8000,2020,Diesel 8-Cylinder,160000,3
VIN01568,T4000,2024,Diesel 8-Cylinder,110000,4
VIN01569,T2000,2020,Diesel Turbo,85000,4
VIN01570,T6000,2020,Diesel Turbo,135000,3
VIN01571,T4000,2024,Diesel 6-Cylinder,110000,4
VIN01572,T4000,2021,Diesel Turbo,110000,4
VIN01573,T8000,2023,Diesel 8-Cylinder,160000,3
VIN01574,T2000,2023,Diesel Turbo,85000,4
VIN01575,T4000,2022,Diesel Turbo,110000,4
VIN01576,T4000,2022,Diesel Turbo,110000,4
VIN01577,T2000,2023,Diesel 6-Cylinder,85000,4
VIN01578,T4000,2024,Diesel 8-Cylinder,110000,4
VIN01579,T2000,2024,Diesel Turbo,85000,4
VIN01580,T4000,2022,Diesel Turbo,110000,4
VIN01581,T2000,2023,Diesel Turbo,85000,4
VIN01582,T2000,2020,Diesel Turbo,85000,4
VIN01583,T2000,2021,Diesel 6-Cylinder,85000,4
VIN01584,T2000,2023,Diesel 8-Cylinder,85000,4
VIN01585,T8000,2024,Diesel Turbo,160000,3
VIN01586,T6000,2020,Diesel 6-Cylinder,135000,3
VIN01587,T4000,2020,Diesel 6-Cylinder,110000,4
VIN01588,T8000,2023,Diesel Turbo,160000,3
VIN01589,T4000,2020,Diesel 8-Cylinder,110000,4
VIN01590,T2000,2020,Diesel Turbo,85000,4
VIN01591,T2000,2023,Diesel 8-Cylinder,85000,4
VIN01592,T6000,2024,Diesel 8-Cylinder,135000,3
VIN01593,T6000,2024,Diesel 6-Cylinder,135000,3
VIN01594,T9000,2021,Diesel Turbo,195000,2
VIN01595,T4000,2020,Diesel 6-Cylinder,110000,4
VIN01596,T8000,2024,Diesel 8-Cylinder,160000,3
VIN01597,T2000,2024,Diesel Turbo,85000,4
VIN01598,T4000,2021,Diesel Turbo,110000,4
VIN01599,T2000,2020,Diesel 8-Cylinder,85000,4
VIN01600,T2000,2020,Diesel 6-Cylinder,85000,4
VIN01601,T2000,2022,Diesel 8-Cylinder,85000,4
VIN01602,T4000,2023,Diesel 8-Cylinder,110000,4
VIN01603,T4000,2024,Diesel 6-Cylinder,110000,4
VIN01604,T6000,2020,Diesel 6-Cylinder,135000,3
VIN01605,T4000,2024,Diesel Turbo,110000,4
VIN01606,T2000,2022,Diesel 6-Cylinder,85000,4
VIN01607,T6000,2021,Diesel 8-Cylinder,135000,3
VIN01608,T9000,2024,Diesel 6-Cylinder,195000,2
VIN01609,T2000,2023,Diesel Turbo,85000,4
VIN01610,T2000,2020,Diesel Turbo,85000,4
VIN01611,T2000,2020,Diesel Turbo,85000,4
VIN01612,T9000,2024,Diesel Turbo,195000,2
VIN01613,T2000,2023,Diesel 8-Cylinder,85000,4
VIN01614,T4000,2021,Diesel 8-Cylinder,110000,4
VIN01615,T9000,2023,Diesel Turbo,195000,2
VIN01616,T4000,2024,Diesel 6-Cylinder,110000,4
VIN01617,T4000,2022,Diesel 6-Cylinder,110000,4
VIN01618,T4000,2021,Diesel Turbo,110000,4
VIN01619,T6000,2022,Diesel 8-Cylinder,135000,3
VIN01620,T9000,2024,Diesel Turbo,195000,2
VIN01621,T2000,2022,Diesel 6-Cylinder,85000,4
VIN01622,T2000,2023,Diesel Turbo,85000,4
VIN01623,T6000,2022,Diesel 6-Cylinder,135000,3
VIN01624,T4000,2021,Diesel 8-Cylinder,110000,4
VIN01625,T2000,2021,Diesel Turbo,85000,4
VIN01626,T2000,2021,Diesel 8-Cylinder,85000,4
VIN01627,T6000,2021,Diesel Turbo,135000,3
VIN01628,T2000,2022,Diesel 6-Cylinder,85000,4
VIN01629,T2000,2021,Diesel Turbo,85000,4
VIN01630,T4000,2020,Diesel 6-Cylinder,110000,4
VIN01631,T9000,2023,Diesel Turbo,195000,2
VIN01632,T2000,2024,Diesel 6-Cylinder,85000,4
VIN01633,T8000,2022,Diesel Turbo,160000,3
VIN01634,T2000,2024,Diesel 8-Cylinder,85000,4
VIN01635,T4000,2024,Diesel 8-Cylinder,110000,4
VIN01636,T4000,2024,Diesel 6-Cylinder,110000,4
VIN01637,T2000,2023,Diesel 8-Cylinder,85000,4
VIN01638,T9000,2020,Diesel Turbo,195000,2
VIN01639,T2000,2021,Diesel 8-Cylinder,85000,4
VIN01640,T9000,2024,Diesel 8-Cylinder,195000,2
VIN01641,T2000,2020,Diesel 6-Cylinder,85000,4
VIN01642,T6000,2023,Diesel Turbo,135000,3
VIN01643,T2000,2022,Diesel Turbo,85000,4
VIN01644,T8000,2021,Diesel Turbo,160000,3
VIN01645,T2000,2022,Diesel 8-Cylinder,85000,4
VIN01646,T9000,2022,Diesel 8-Cylinder,195000,2
VIN01647,T2000,2023,Diesel 6-Cylinder,85000,4
VIN01648,T4000,2022,Diesel 8-Cylinder,110000,4
VIN01649,T8000,2022,Diesel 8-Cylinder,160000,3
VIN01650,T2000,2021,Diesel Turbo,85000,4
VIN01651,T6000,2020,Diesel Turbo,135000,3
VIN01652,T2000,2021,Diesel Turbo,85000,4
VIN01653,T4000,2023,Diesel 6-Cylinder,110000,4
VIN01654,T2000,2021,Diesel 8-Cylinder,85000,4
VIN01655,T8000,2021,Diesel 8-Cylinder,160000,3
VIN01656,T4000,2024,Diesel Turbo,110000,4
VIN01657,T6000,2023,Diesel 8-Cylinder,135000,3
VIN01658,T2000,2024,Diesel 6-Cylinder,85000,4
VIN01659,T4000,2021,Diesel 6-Cylinder,110000,4
VIN01660,T2000,2022,Diesel 8-Cylinder,85000,4
VIN01661,T8000,2020,Diesel 8-Cylinder,160000,3
VIN01662,T6000,2022,Diesel 8-Cylinder,135000,3
VIN01663,T4000,2024,Diesel 8-Cylinder,110000,4
VIN01664,T2000,2023,Diesel 6-Cylinder,85000,4
VIN01665,T4000,2024,Diesel 6-Cylinder,110000,4
VIN01666,T4000,2024,Diesel 6-Cylinder,110000,4
VIN01667,T9000,2022,Diesel 8-Cylinder,195000,2
VIN01668,T2000,2024,Diesel 8-Cylinder,85000,4
VIN01669,T8000,2023,Diesel 6-Cylinder,160000,3
VIN01670,T4000,2022,Diesel 8-Cylinder,110000,4
VIN01671,T6000,2021,Diesel 6-Cylinder,135000,3
VIN01672,T6000,2022,Diesel 8-Cylinder,135000,3
VIN01673,T6000,2024,Diesel 8-Cylinder,135000,3
VIN01674,T8000,2020,Diesel 6-Cylinder,160000,3
VIN01675,T2000,2021,Diesel 8-Cylinder,85000,4
VIN01676,T2000,2022,Diesel Turbo,85000,4
VIN01677,T2000,2023,Diesel 8-Cylinder,85000,4
VIN01678,T8000,2022,Diesel Turbo,160000,3
VIN01679,T4000,2023,Diesel 8-Cylinder,110000,4
VIN01680,T2000,2020,Diesel 6-Cylinder,85000,4
VIN01681,T6000,2022,Diesel Turbo,135000,3
VIN01682,T6000,2020,Diesel 6-Cylinder,135000,3
VIN01683,T2000,2020,Diesel 6-Cylinder,85000,4
VIN01684,T2000,2023,Diesel Turbo,85000,4
VIN01685,T2000,2023,Diesel Turbo,85000,4
VIN01686,T8000,2020,Diesel 6-Cylinder,160000,3
VIN01687,T2000,2021,Diesel 6-Cylinder,85000,4
VIN01688,T6000,2023,Diesel 8-Cylinder,135000,3
VIN01689,T2000,2022,Diesel 8-Cylinder,85000,4
VIN01690,T6000,2021,Diesel Turbo,135000,3
VIN01691,T8000,2020,Diesel 6-Cylinder,160000,3
VIN01692,T6000,2022,Diesel 8-Cylinder,135000,3
VIN01693,T4000,2024,Diesel 8-Cylinder,110000,4
VIN01694,T4000,2021,Diesel Turbo,110000,4
VIN01695,T4000,2024,Diesel Turbo,110000,4
VIN01696,T4000,2024,Diesel 8-Cylinder,110000,4
VIN01697,T4000,2024,Diesel 8-Cylinder,110000,4
VIN01698,T9000,2023,Diesel Turbo,195000,2
VIN01699,T2000,2020,Diesel 8-Cylinder,85000,4
VIN01700,T2000,2023,Diesel 8-Cylinder,85000,4
VIN01701,T2000,2020,Diesel 6-Cylinder,85000,4
VIN01702,T4000,2021,Diesel 8-Cylinder,110000,4
VIN01703,T2000,2024,Diesel 6-Cylinder,85000,4
VIN01704,T6000,2023,Diesel 8-Cylinder,135000,3
VIN01705,T2000,2023,Diesel 8-Cylinder,85000,4
VIN01706,T4000,2020,Diesel Turbo,110000,4
VIN01707,T4000,2023,Diesel Turbo,110000,4
VIN01708,T4000,2021,Diesel 6-Cylinder,110000,4
VIN01709,T6000,2023,Diesel 8-Cylinder,135000,3
VIN01710,T2000,2020,Diesel 8-Cylinder,85000,4
VIN01711,T6000,2024,Diesel Turbo,135000,3
VIN01712,T8000,2022,Diesel 8-Cylinder,160000,3
VIN01713,T6000,2024,Diesel 8-Cylinder,135000,3
VIN01714,T4000,2020,Diesel 6-Cylinder,110000,4
VIN01715,T2000,2020,Diesel Turbo,85000,4
VIN01716,T4000,2023,Diesel 8-Cylinder,110000,4
VIN01717,T6000,2023,Diesel 6-Cylinder,135000,3
VIN01718,T2000,2021,Diesel 6-Cylinder,85000,4
VIN01719,T9000,2020,Diesel 6-Cylinder,195000,2
VIN01720,T9000,2022,Diesel 8-Cylinder,195000,2
VIN01721,T2000,2023,Diesel Turbo,85000,4
VIN01722,T2000,2020,Diesel 6-Cylinder,85000,4
VIN01723,T2000,2021,Diesel 8-Cylinder,85000,4
VIN01724,T4000,2023,Diesel 8-Cylinder,110000,4
VIN01725,T4000,2020,Diesel 8-Cylinder,110000,4
VIN01726,T2000,2021,Diesel 6-Cylinder,85000,4
VIN01727,T2000,2023,Diesel 6-Cylinder,85000,4
VIN01728,T4000,2021,Diesel 6-Cylinder,110000,4
VIN01729,T8000,2022,Diesel 8-Cylinder,160000,3
VIN01730,T8000,2020,Diesel Turbo,160000,3
VIN01731,T2000,2023,Diesel 6-Cylinder,85000,4
VIN01732,T6000,2020,Diesel 6-Cylinder,135000,3
VIN01733,T4000,2020,Diesel Turbo,110000,4
VIN01734,T6000,2021,Diesel 8-Cylinder,135000,3
VIN01735,T4000,2022,Diesel 8-Cylinder,110000,4
VIN01736,T2000,2020,Diesel Turbo,85000,4
VIN01737,T9000,2024,Diesel 6-Cylinder,195000,2
VIN01738,T2000,2022,Diesel 6-Cylinder,85000,4
VIN01739,T4000,2020,Diesel Turbo,110000,4
VIN01740,T2000,2020,Diesel 6-Cylinder,85000,4
VIN01741,T6000,2022,Diesel 6-Cylinder,135000,3
VIN01742,T2000,2022,Diesel Turbo,85000,4
VIN01743,T2000,2021,Diesel 6-Cylinder,85000,4
VIN01744,T9000,2024,Diesel Turbo,195000,2
VIN01745,T4000,2024,Diesel 6-Cylinder,110000,4
VIN01746,T4000,2020,Diesel 6-Cylinder,110000,4
VIN01747,T2000,2020,Diesel Turbo,85000,4
VIN01748,T6000,2020,Diesel 6-Cylinder,135000,3
VIN01749,T4000,2021,Diesel Turbo,110000,4
VIN01750,T4000,2020,Diesel 6-Cylinder,110000,4
VIN01751,T4000,2022,Diesel Turbo,110000,4
VIN01752,T8000,2022,Diesel 8-Cylinder,160000,3
VIN01753,T6000,2020,Diesel Turbo,135000,3
VIN01754,T4000,2021,Diesel 8-Cylinder,110000,4
VIN01755,T8000,2023,Diesel Turbo,160000,3
VIN01756,T4000,2022,Diesel Turbo,110000,4
VIN01757,T6000,2021,Diesel Turbo,135000,3
VIN01758,T2000,2022,Diesel 8-Cylinder,85000,4
VIN01759,T6000,2022,Diesel Turbo,135000,3
VIN01760,T9000,2024,Diesel 6-Cylinder,195000,2
VIN01761,T2000,2021,Diesel 8-Cylinder,85000,4
VIN01762,T2000,2022,Diesel Turbo,85000,4
VIN01763,T4000,2020,Diesel Turbo,110000,4
VIN01764,T4000,2021,Diesel 6-Cylinder,110000,4
VIN01765,T6000,2022,Diesel Turbo,135000,3
VIN01766,T2000,2020,Diesel Turbo,85000,4
VIN01767,T9000,2023,Diesel 6-Cylinder,195000,2
VIN01768,T4000,2023,Diesel Turbo,110000,4
VIN01769,T2000,2022,Diesel 8-Cylinder,85000,4
VIN01770,T4000,2022,Diesel 6-Cylinder,110000,4
VIN01771,T2000,2020,Diesel 6-Cylinder,85000,4
VIN01772,T8000,2021,Diesel 6-Cylinder,160000,3
VIN01773,T8000,2021,Diesel 6-Cylinder,160000,3
VIN01774,T4000,2020,Diesel 6-Cylinder,110000,4
VIN01775,T4000,2023,Diesel Turbo,110000,4
VIN01776,T4000,2024,Diesel Turbo,110000,4
VIN01777,T4000,2020,Diesel 8-Cylinder,110000,4
VIN01778,T2000,2020,Diesel 6-Cylinder,85000,4
VIN01779,T9000,2021,Diesel Turbo,195000,2
VIN01780,T4000,2020,Diesel 8-Cylinder,110000,4
VIN01781,T8000,2020,Diesel 8-Cylinder,160000,3
VIN01782,T4000,2023,Diesel 8-Cylinder,110000,4
VIN01783,T8000,2020,Diesel Turbo,160000,3
VIN01784,T2000,2020,Diesel Turbo,85000,4
VIN01785,T2000,2022,Diesel 6-Cylinder,85000,4
VIN01786,T9000,2024,Diesel 6-Cylinder,195000,2
VIN01787,T2000,2021,Diesel Turbo,85000,4
VIN01788,T4000,2021,Diesel Turbo,110000,4
VIN01789,T6000,2024,Diesel Turbo,135000,3
VIN01790,T9000,2024,Diesel Turbo,195000,2
VIN01791,T4000,2020,Diesel Turbo,110000,4
VIN01792,T4000,2023,Diesel Turbo,110000,4
